Duration,Elements,element_rate,pk_freq(max),min_req(max),max_freq(max),bandw(max),entropy(max),peak_freq(mean),min_freq(mean),max_freq(mean),bandw(mean),entropy(mean)
0.1886,6,0.0372,53700,21400,66400,44900,0.556,46800,6800,76600,69800,0.636
0.1824,19,0.01,47300,5300,73700,68300,0.58,47800,4300,76600,72200,0.657
0.1729,10,0.0189,34100,19000,75100,56100,0.59,32700,3900,76100,72200,0.692
0.1094,1,0,34100,21900,73200,51200,0.563,31700,12600,70800,58100,0.601
0.1102,2,0.0002,34100,21900,73200,51200,0.563,31700,12600,70800,58100,0.6
0.1146,2,0.0047,34100,13100,72200,59000,0.557,34100,4800,73700,68800,0.626
0.1145,2,0.0046,34100,13100,72200,59000,0.557,34100,4800,73700,68800,0.626
0.1175,1,0,37500,19000,69300,50200,0.602,37500,10700,72200,61500,0.659
0.1342,2,0.13,37500,19500,69300,49800,0.596,37500,10700,72200,61500,0.66
0.0677,15,0.0047,35100,10700,76600,65900,0.585,35100,6300,76600,70300,0.666
0.0679,15,0.0047,35100,20000,81500,61500,0.587,35100,6300,76600,70300,0.666
0.0721,17,0.0043,35100,15600,82000,66400,0.634,34600,6800,81000,74200,0.68
0.0527,12,0.0046,38500,16100,77100,61000,0.634,34600,6300,81000,74700,0.683
0.0528,15,0.0035,38500,16100,77100,61000,0.635,34600,6300,81000,74700,0.683
0.173,16,0.0114,41500,28300,77600,49300,0.565,41500,28800,79100,50200,0.607
0.1777,18,0.0102,40500,21400,76100,54600,0.593,41900,19500,78100,58500,0.651
0.1923,6,0.0384,49300,20500,77600,57100,0.575,38000,5800,76100,70300,0.638
0.1697,8,0.024,40500,20000,78100,58100,0.571,40500,7300,83000,75600,0.673
0.1035,16,0.0068,41000,19500,70300,50700,0.582,41000,16100,69800,53700,0.642
0.1446,6,0.0289,40500,27800,67300,39500,0.515,41500,19500,70300,50700,0.597
0.1903,6,0.0376,44900,27300,69800,42400,0.487,44900,23400,71700,48300,0.582
0.1489,37,0.0041,41500,24900,71700,46800,0.57,40500,5800,72200,66400,0.64
0.1857,16,0.0122,43900,20500,67800,47300,0.51,44900,5300,73200,67800,0.641
0.1898,18,0.0111,44900,21400,65400,43900,0.521,42900,5800,73700,67800,0.612
0.1835,18,0.0107,44900,30200,63400,33200,0.498,44900,20500,71700,51200,0.614
0.1477,9,0.0183,44900,18000,73200,55100,0.555,43900,10700,78100,67300,0.66
0.0641,6,0.0126,61500,7300,76600,69300,0.63,36100,4300,77100,72700,0.7
0.1537,11,0.0149,47300,22900,66400,43400,0.501,47300,5300,73700,68300,0.639
0.1647,34,0.0049,46800,23400,73200,49800,0.552,46800,5800,77100,71200,0.657
0.1894,22,0.0089,42900,29700,71200,41500,0.526,43400,24400,71200,46800,0.581
0.1541,20,0.008,43900,23400,61500,38000,0.499,44400,5800,73700,67800,0.618
0.1811,12,0.0164,45800,18500,74200,55600,0.606,45800,4300,81000,76600,0.694
0.1653,12,0.0148,54100,25800,72200,46300,0.575,50200,7300,80000,72700,0.662
0.1335,9,0.0166,56100,27300,77100,49800,0.571,56600,14600,79500,64900,0.645
0.1637,20,0.0085,59000,29200,73700,44400,0.519,59000,26300,74200,47800,0.575
0.10363,36,0.00278,64000,4000,83000,79000,0.363,43000,1000,84000,83000,0.442
0.09506,49,0.00195,38000,21000,76000,54000,0.326,30000,2000,80000,77000,0.452
0.06813,40,0.00174,32000,7000,73000,65000,0.349,27000,4000,77000,73000,0.415
0.06007,28,0.00222,42000,23000,67000,43000,0.314,41000,2000,77000,74000,0.403
0.04723,29,0.00131,39000,19000,61000,42000,0.323,39000,2000,73000,70000,0.414
0.09757,38,0.00263,38000,8000,73000,64000,0.333,38000,2000,79000,76000,0.435
0.09634,76,0.00128,29000,8000,73000,64000,0.34,32000,2000,77000,74000,0.426
0.13973,88,0.00159,27000,10000,71000,61000,0.346,33000,2000,76000,73000,0.415
0.11118,26,0.00444,29000,2000,74000,71000,0.354,26000,2000,79000,76000,0.433
0.06677,34,0.00193,29000,19000,79000,60000,0.309,29000,2000,83000,80000,0.415
0.08823,52,0.00168,26000,2000,74000,71000,0.383,29000,2000,84000,82000,0.444
0.07961,30,0.00257,64000,11000,83000,71000,0.362,27000,4000,83000,79000,0.412
0.12616,93,0.00137,36000,7000,73000,65000,0.345,36000,2000,79000,76000,0.416
0.08162,19,0.00452,61000,4000,76000,71000,0.352,62000,2000,84000,82000,0.437
0.11566,36,0.00304,29000,4000,76000,71000,0.334,29000,1000,95000,93000,0.467
0.04556,30,0.0015,30000,10000,77000,67000,0.328,30000,2000,77000,74000,0.379
0.09574,54,0.0018,32000,2000,71000,68000,0.346,33000,1000,83000,82000,0.439
0.09693,9,0.01085,29000,2000,70000,67000,0.333,30000,2000,79000,76000,0.414
0.07112,32,0.00229,24000,13000,82000,68000,0.352,29000,2000,86000,83000,0.423
0.12224,20,0.00612,19000,4000,80000,76000,0.348,19000,2000,82000,79000,0.447
0.05973,36,0.0017,29000,2000,73000,70000,0.33,27000,2000,89000,86000,0.413
0.08486,24,0.00339,29000,2000,86000,83000,0.395,27000,2000,92000,89000,0.446
0.06865,21,0.00328,29000,4000,77000,73000,0.334,30000,2000,79000,76000,0.413
0.07829,14,0.00599,32000,4000,73000,68000,0.371,21000,2000,80000,77000,0.432
0.07552,37,0.00192,62000,2000,77000,74000,0.373,65000,2000,89000,86000,0.438
0.0672,28,0.00248,20000,4000,77000,73000,0.295,21000,2000,80000,77000,0.405
0.05798,4,0.01924,27000,11000,92000,80000,0.392,29000,2000,93000,90000,0.443
0.06869,22,0.00313,29000,4000,77000,73000,0.33,30000,2000,79000,76000,0.413
0.07863,14,0.00567,32000,2000,76000,73000,0.354,21000,2000,80000,77000,0.432
0.07552,37,0.00192,64000,2000,79000,76000,0.373,65000,2000,89000,86000,0.438
0.06724,30,0.00231,20000,4000,77000,73000,0.297,21000,2000,80000,77000,0.405
0.13405,87,0.00154,27000,4000,77000,73000,0.327,27000,2000,77000,74000,0.407
0.4416,104,0.00428,45000,29000,76000,46000,0.334,29000,2000,87000,84000,0.463
0.36151,339,0.00106,30000,13000,83000,70000,0.352,30000,2000,90000,87000,0.464
0.24401,77,0.0032,33000,16000,83000,67000,0.354,29000,1000,87000,86000,0.484
0.27822,244,0.00114,35000,10000,84000,74000,0.396,29000,1000,87000,86000,0.455
0.24759,83,0.00301,36000,5000,82000,76000,0.36,29000,1000,87000,86000,0.485
0.09557,10,0.0106,33000,10000,80000,70000,0.35,35000,4000,86000,82000,0.443
0.05393,13,0.00449,67000,11000,83000,71000,0.384,68000,5000,89000,83000,0.444
