ID_Call,ID_Couple,Intruder,Owner,Sex,Defense,PC1,PC2,PC3,PC4,PC5
21,2,222,210,Female,0,-1.625078177,-0.964535721,-0.700078251,-0.647088584,0.068863478
22,2,222,210,Female,0,-0.453458575,-1.718386809,-0.779553763,0.815799523,-0.469365762
23,2,222,210,Female,0,5.7590112,1.253227373,-2.524762622,-1.827646733,-3.525509147
25,2,222,210,Female,0,-0.713917959,-2.25414186,-1.142622839,1.047043968,-0.775157652
148,11,235,219,Female,0,0.731560053,0.37094176,0.136609552,-0.909984187,-0.081045963
149,11,235,219,Female,0,-0.000407274,1.878527003,0.044385637,-0.556928022,1.469188368
150,11,235,219,Female,0,0.140599004,1.404663755,-0.594325213,0.005775705,0.145089758
185,13,240,245,Female,0,-0.179419328,1.067516515,-0.595893993,-0.373397353,0.761462607
186,13,240,245,Female,0,0.377797924,0.932169835,-0.762089504,-0.533358696,0.29431102
187,13,240,245,Female,0,0.149461625,0.869484418,-0.475656306,-0.437130979,0.006950172
188,13,240,245,Female,0,0.873798385,0.394419762,-0.299788644,-0.727461146,0.320668695
189,13,240,245,Female,0,0.463809458,0.806920069,-0.396713359,-0.631687643,-0.025431752
190,13,240,245,Female,0,0.605312273,0.170716265,-0.423709912,-0.397725213,-0.402439988
191,13,240,245,Female,0,0.097560295,-0.41364186,0.074082601,-1.016070621,0.910698882
192,13,240,245,Female,0,0.454405755,-0.105845884,-0.292088256,-0.672203815,0.730866809
193,13,240,245,Female,0,0.45572851,-0.10406383,-0.296483597,-0.695211442,0.754711114
194,14,235,244,Female,0,-0.230513568,1.316141058,-0.400691283,-0.042943862,0.673418891
195,14,235,244,Female,0,0.309540715,1.072975611,0.132443577,-0.20000187,-0.511792215
216,17,193,202,Female,1,0.926085272,-0.101737714,-0.948961537,0.01018322,0.69320134
217,17,193,202,Female,1,0.85759204,-0.09275802,-1.052865508,0.198372559,0.325549275
218,17,193,202,Female,1,0.859873864,-0.094834358,-1.040414527,0.210835282,0.325673259
219,17,193,202,Female,1,0.756014546,-0.50521705,-0.722878547,0.041036189,-2.12763711
220,17,193,202,Female,1,-0.626328204,-1.179061682,-0.478069978,0.044544603,-0.356312195
221,17,193,202,Female,1,0.939852586,-0.116489634,-0.907724829,0.010889831,0.684520392
222,17,193,202,Female,1,0.850695654,-0.084999745,-1.067905666,0.210364208,0.331460558
223,17,193,202,Female,1,0.850695654,-0.084999745,-1.067905666,0.210364208,0.331460558
224,17,193,202,Female,1,-0.630917309,-1.174144376,-0.491815548,0.044309065,-0.353418546
