ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
36,3,190,179,Male,0.03784,0.00069,29000,4000,70000,65000,0.341,30000,2000,79000,76000,0.378,-0.783320194,-1.036009666,-1.022405533,0.000158479,-0.758666736
37,3,190,179,Male,0.11549,0.00073,33000,7000,58000,51000,0.336,30000,2000,82000,79000,0.423,-0.930167287,-0.619600076,-0.605840285,-0.130185175,0.480676966
38,3,190,179,Male,0.11063,0.00198,32000,5000,74000,68000,0.344,36000,2000,80000,77000,0.42,-0.190357053,-0.946721978,-0.442902499,-0.058378444,-0.31943205
39,3,190,179,Male,0.14173,0.00077,38000,19000,70000,51000,0.298,38000,5000,74000,68000,0.396,-1.017428337,0.573103917,-0.499484606,-0.509873922,0.16151423
40,3,190,179,Male,0.0189,0.00229,32000,14000,57000,42000,0.313,35000,4000,77000,73000,0.39,-1.650502744,0.249481737,-0.507236026,0.622260537,-0.100305382
41,3,190,179,Male,0.11046,0.00095,30000,13000,60000,46000,0.314,36000,5000,68000,62000,0.357,-2.113837196,0.213720113,-0.444879061,-0.504467815,-0.003147729
42,3,190,179,Male,0.00008,0,5000,1000,23000,21000,0.209,5000,1000,24000,23000,0.219,-7.799623952,-0.86453631,-1.246512287,-0.539548942,-0.106262994
43,3,190,179,Male,0.07769,0.0025,46000,23000,77000,54000,0.331,45000,4000,87000,83000,0.424,0.458866782,0.838365638,-0.382769064,0.451528,-0.127929632
44,3,190,179,Male,0.13725,0.00084,45000,21000,60000,38000,0.28,42000,14000,73000,58000,0.36,-2.063997581,1.926240615,-0.154784034,-0.677474208,-0.034092089
45,3,190,179,Male,0.12569,0.00071,27000,4000,71000,67000,0.288,29000,2000,79000,76000,0.399,-0.728386229,-1.055076955,-1.156058036,-0.30584189,-0.056782401
46,3,190,179,Male,0.13755,0.00076,45000,10000,71000,61000,0.37,30000,2000,80000,77000,0.412,-0.132649765,-0.490391142,-0.434140439,-0.323605946,0.014547706
47,4,226,225,Male,0.08042,0.00087,55000,27000,82000,54000,0.368,38000,4000,79000,74000,0.392,0.230425305,1.026215376,-0.357664825,-0.038364108,-0.500670347
48,5,228,210,Male,0.0252,0.008,37100,35600,40000,4300,0.195,38000,35100,50200,15100,0.336,-6.223787769,4.863599401,2.122198423,1.946080584,-0.660300694
49,5,228,210,Male,0.0938,0.0012,40500,17500,73700,56100,0.556,40500,5800,75100,69300,0.653,0.593377955,-0.60317127,2.947232807,-0.02095102,-0.29131495
50,6,231,179,Male,0.1803,0.0027,39500,19000,71700,52700,0.574,39000,4800,84400,79500,0.719,1.36603496,-0.737828313,3.486935493,0.491983266,0.904812989
51,6,231,179,Male,0.1373,0.009,53700,16600,70800,54100,0.558,47300,4800,78600,73700,0.687,1.205165092,-0.271053513,4.271118559,1.962214695,0.393838714
52,6,231,179,Male,0.1652,0.0108,53200,20900,70800,49800,0.592,45800,5300,77100,71700,0.676,1.096107965,-0.031436465,4.817277602,2.522783511,0.715178986
53,6,231,179,Male,0.1795,0.0023,51700,32200,74200,41900,0.521,44900,6800,79100,72200,0.661,0.961365735,0.856461664,3.132550902,0.196629422,0.842112161
54,6,231,179,Male,0.0741,0.0026,51200,19000,80500,61500,0.611,50700,13100,76600,63400,0.643,1.018122641,0.224870606,3.851609342,0.082785484,-1.267250512
55,6,231,179,Male,0.1871,0.0066,53700,21400,66400,44900,0.555,46800,6800,76600,69800,0.636,0.612378913,0.359468238,3.897671857,1.05922292,0.764987899
56,6,231,179,Male,0.1789,0.0028,47300,5300,73700,68300,0.577,47800,4300,76600,72200,0.656,1.255273929,-1.294660965,3.297801258,-0.467730333,-0.15958639
57,6,231,179,Male,0.1671,0.0046,34100,19000,75100,56100,0.59,32700,3900,76100,72200,0.691,0.856308619,-1.086676414,3.774064665,1.155511974,0.659694125
58,6,231,179,Male,0.0506,0.0031,38500,12200,77100,64900,0.636,34600,6300,81000,74700,0.682,1.234915126,-1.376622654,3.585603939,1.01238099,-0.715597176
59,6,231,179,Male,0.1094,0.0013,33600,21900,73200,51200,0.567,31700,12600,70800,58100,0.6,-0.456476133,-0.038431975,3.167324349,0.244247258,-0.402228371
60,6,231,179,Male,0.6533,0.0017,37500,19000,69300,50200,0.603,37100,7300,72700,65400,0.656,0.778378067,-0.572447444,4.280987903,-2.077764582,3.752470258
61,6,231,179,Male,0.017,0.0054,37100,19000,74200,55100,0.619,37100,5800,75100,69300,0.678,0.62429484,-0.813167745,3.997663002,1.814229157,-0.597156342
62,6,231,179,Male,0.0549,0.0021,35100,20000,77100,57100,0.585,35100,7300,76600,69300,0.662,0.620116147,-0.687212732,3.237523566,0.758349487,-0.524198041
